Date (MDY),Time,Univ Input 1 Module 1 (Deg C),Temperature Heat Power (%),Temperature PV (Deg C),Temperature Set Point (Deg C)
01/21/2025,05:36:03 pm,14.405,5.971,14.405,15.000
01/21/2025,05:36:18 pm,14.243,8.057,14.243,15.000
01/21/2025,05:36:33 pm,14.449,6.539,14.449,15.000
01/21/2025,05:36:48 pm,15.016,1.077,15.016,15.000
01/21/2025,05:37:03 pm,14.981,1.343,14.981,15.000
01/21/2025,05:37:18 pm,13.181,19.976,13.181,15.000
01/21/2025,05:37:33 pm,11.896,34.765,11.896,15.000
01/21/2025,05:37:37 pm,11.320,43.060,11.320,15.000
